iter	Passed	Remaining
437	1393	1788
438	1396	1784
439	1400	1781
440	1403	1778
441	1406	1775
442	1409	1771
443	1412	1768
444	1415	1765
445	1418	1762
446	1421	1759
447	1425	1756
448	1429	1753
449	1431	1750
450	1434	1746
451	1438	1743
452	1441	1740
453	1444	1737
454	1448	1734
455	1451	1731
456	1454	1728
457	1457	1724
458	1460	1721
459	1463	1718
460	1466	1715
461	1470	1711
462	1473	1708
463	1476	1705
464	1479	1702
465	1482	1698
466	1485	1695
467	1489	1692
468	1492	1689
469	1495	1686
470	1498	1683
471	1502	1680
472	1505	1676
473	1508	1673
474	1511	1670
475	1514	1667
476	1517	1663
477	1520	1660
478	1523	1657
479	1526	1654
480	1529	1650
481	1533	1647
482	1536	1644
483	1539	1641
484	1542	1638
485	1545	1634
486	1548	1631
487	1552	1628
488	1555	1625
489	1558	1621
490	1561	1618
491	1564	1615
492	1567	1612
493	1570	1609
494	1574	1606
495	1577	1602
496	1580	1599
497	1584	1596
498	1587	1593
499	1590	1590
500	1593	1586
501	1596	1583
502	1599	1580
503	1603	1577
504	1606	1574
505	1609	1571
506	1613	1568
507	1616	1565
508	1619	1561
509	1622	1558
510	1625	1555
511	1628	1552
512	1632	1549
513	1635	1546
514	1638	1542
515	1641	1539
516	1644	1536
517	1647	1533
518	1650	1529
519	1653	1526
520	1656	1523
521	1659	1519
522	1663	1516
523	1666	1513
524	1669	1510
525	1672	1507
526	1675	1503
527	1678	1500
528	1681	1497
529	1684	1494
530	1688	1491
531	1691	1487
532	1694	1484
533	1697	1481
534	1700	1477
535	1703	1474
536	1706	1471
537	1710	1468
538	1713	1465
539	1716	1462
540	1719	1459
541	1723	1456
542	1726	1453
543	1729	1450
544	1733	1447
545	1736	1444
546	1740	1441
547	1743	1438
548	1747	1435
549	1750	1431
550	1753	1428
551	1756	1425
552	1760	1422
553	1763	1419
554	1766	1416
555	1769	1412
556	1773	1410
557	1776	1406
558	1779	1403
559	1782	1400
560	1785	1397
561	1789	1394
562	1792	1391
563	1795	1388
564	1798	1384
565	1801	1381
566	1805	1378
567	1808	1375
568	1811	1372
569	1814	1368
570	1817	1365
571	1821	1362
572	1824	1359
573	1827	1356
574	1830	1353
575	1833	1349
576	1837	1347
577	1840	1344
578	1843	1340
579	1846	1337
580	1850	1334
581	1853	1331
582	1856	1327
583	1859	1324
584	1862	1321
585	1865	1317
586	1868	1314
587	1871	1311
588	1874	1308
589	1877	1304
590	1880	1301
591	1884	1298
592	1887	1295
593	1890	1292
594	1893	1288
595	1896	1285
596	1900	1282
597	1903	1279
598	1906	1276
599	1909	1272
600	1912	1269
601	1915	1266
602	1918	1263
603	1921	1259
604	1924	1256
605	1927	1253
606	1931	1250
607	1934	1247
608	1937	1244
609	1940	1240
610	1943	1237
611	1947	1234
612	1950	1231
613	1953	1227
614	1956	1224
615	1959	1221
616	1962	1218
617	1965	1215
618	1968	1211
619	1971	1208
620	1974	1205
621	1978	1202
622	1981	1199
623	1984	1195
624	1987	1192
625	1990	1189
626	1993	1186
627	1996	1182
628	1999	1179
629	2003	1176
630	2006	1173
631	2009	1170
632	2012	1167
633	2016	1163
634	2019	1160
635	2022	1157
636	2025	1154
637	2028	1151
638	2031	1147
639	2034	1144
640	2037	1141
641	2041	1138
642	2044	1135
643	2047	1131
644	2050	1128
645	2053	1125
646	2057	1122
647	2060	1119
648	2062	1115
649	2066	1112
650	2069	1109
651	2072	1106
652	2075	1103
653	2078	1099
654	2081	1096
655	2084	1093
656	2087	1090
657	2091	1086
658	2093	1083
659	2097	1080
660	2100	1077
661	2104	1074
662	2107	1071
663	2110	1068
664	2113	1064
665	2116	1061
666	2120	1058
667	2123	1055
668	2126	1052
669	2129	1049
670	2132	1045
671	2136	1042
672	2139	1039
673	2143	1036
674	2146	1033
675	2149	1030
676	2153	1027
677	2156	1024
678	2159	1021
679	2162	1017
680	2166	1014
681	2171	1012
682	2174	1009
683	2177	1005
684	2180	1002
685	2183	999
686	2187	996
687	2190	993
688	2193	989
689	2196	986
690	2199	983
691	2203	980
692	2206	977
693	2209	974
694	2212	970
695	2216	968
696	2219	964
697	2222	961
698	2225	958
699	2228	955
700	2232	952
701	2235	949
702	2239	945
703	2242	942
704	2245	939
705	2248	936
706	2251	933
707	2254	929
708	2257	926
709	2260	923
710	2264	920
711	2267	917
712	2270	913
713	2273	910
714	2276	907
715	2280	904
716	2283	901
717	2286	897
718	2289	894
719	2292	891
720	2296	888
721	2299	885
722	2302	882
723	2305	878
724	2308	875
725	2312	872
726	2314	869
727	2317	866
728	2321	862
729	2324	859
730	2327	856
731	2330	853
732	2333	850
733	2337	847
734	2340	843
735	2343	840
736	2347	837
737	2350	834
738	2353	831
739	2356	828
740	2360	824
741	2363	821
742	2366	818
743	2369	815
744	2372	812
745	2375	808
746	2378	805
747	2382	802
748	2385	799
749	2388	796
750	2391	792
751	2394	789
752	2397	786
753	2400	783
754	2403	779
755	2406	776
756	2409	773
757	2412	770
758	2415	767
759	2418	763
760	2422	760
761	2425	757
762	2428	754
763	2431	751
764	2434	747
765	2437	744
766	2441	741
767	2444	738
768	2447	735
769	2450	731
770	2453	728
771	2456	725
772	2459	722
773	2462	719
774	2465	715
775	2469	712
776	2472	709
777	2475	706
778	2478	703
779	2481	699
780	2484	696
781	2487	693
782	2490	690
783	2493	687
784	2496	683
785	2500	680
786	2503	677
787	2506	674
788	2510	671
789	2513	668
790	2516	664
791	2519	661
792	2522	658
793	2525	655
794	2528	651
795	2531	648
796	2534	645
797	2537	642
798	2540	639
799	2543	635
800	2546	632
801	2550	629
802	2553	626
803	2556	623
804	2559	619
805	2562	616
806	2565	613
807	2568	610
808	2572	607
809	2575	604
810	2578	601
811	2582	598
812	2586	594
813	2589	591
814	2593	588
815	2598	585
816	2602	583
817	2606	579
818	2609	576
819	2614	573
820	2617	570
821	2620	567
822	2624	564
823	2628	561
824	2631	558
825	2635	555
826	2638	552
827	2642	548
828	2646	545
829	2650	542
830	2653	539
831	2656	536
832	2660	533
833	2663	530
834	2667	527
835	2670	523
836	2673	520
837	2676	517
838	2680	514
839	2683	511
840	2686	507
841	2689	504
842	2693	501
843	2697	498
844	2700	495
845	2703	492
846	2706	488
847	2710	485
848	2715	483
849	2719	479
850	2722	476
851	2725	473
852	2728	470
853	2731	467
854	2735	463
855	2738	460
856	2741	457
857	2744	454
858	2748	451
859	2751	447
860	2754	444
861	2757	441
862	2760	438
863	2764	435
864	2767	431
865	2770	428
866	2773	425
867	2776	422
868	2780	419
869	2783	415
870	2786	412
871	2789	409
872	2792	406
873	2796	403
874	2799	399
875	2802	396
876	2805	393
877	2808	390
