iter	RMSE
0	174.7446116
1	168.2043824
2	162.1966039
3	156.5531905
4	151.394341
5	146.8384882
6	142.8895263
7	139.1950163
8	135.3609192
9	131.5714728
10	128.2732794
11	125.5551933
12	123.1195059
13	120.801754
14	117.1046674
15	114.8670139
16	112.3163983
17	110.7558061
18	107.9649361
19	104.6831015
20	101.8874824
21	100.0669635
22	98.86265429
23	97.46355685
24	94.9080076
25	93.92889471
26	92.75529493
27	90.45629844
28	88.54547446
29	87.55339117
30	85.60956521
31	84.72823377
32	83.01352773
33	82.05687731
34	80.77326268
35	79.34176631
36	78.80025731
37	77.69702709
38	76.91491144
39	76.05402201
40	75.17011288
41	73.93681073
42	73.54923085
43	72.40660624
44	72.07015175
45	71.68096846
46	70.70802364
47	70.44803284
48	69.98966084
49	69.35473524
50	68.90405522
51	68.51874603
52	68.24009084
53	67.82994886
54	67.09463812
55	66.83368748
56	66.10826098
57	65.78420929
58	65.19532686
59	64.95687184
60	64.76549898
61	64.39902143
62	64.23482021
63	64.07894347
64	63.94053839
65	63.71094234
66	63.59631219
67	62.96151068
68	62.71244401
69	62.23223886
70	61.83178267
71	61.51954157
72	61.00542303
73	60.65620946
74	60.53475355
75	60.16121788
76	59.9101334
77	59.77456737
78	59.47651557
79	59.3756008
80	59.26699398
81	59.14914109
82	58.85551942
83	58.76270932
84	58.53700634
85	58.41427685
86	58.13753505
87	58.07366753
88	57.65232322
89	57.55924597
90	57.2332665
91	57.03883839
92	56.80158975
93	56.60466891
94	56.40915869
95	56.28155449
96	56.13298798
97	56.04538176
98	55.98458512
99	55.93116549
100	55.61785998
101	55.29967106
102	55.20704121
103	55.05256203
104	54.87470652
105	54.77847537
106	54.6844739
107	54.63236411
108	54.50690334
109	54.406012
110	54.28603269
111	54.04705075
112	53.97990938
113	53.75948466
114	53.66415281
115	53.53937775
116	53.3279332
117	53.13852773
118	53.06437859
119	52.90589623
120	52.84795063
121	52.77613425
122	52.6098181
123	52.4072486
124	52.35307876
125	52.19742651
126	52.12868913
127	52.05549335
128	51.98628026
129	51.83719747
130	51.75668024
131	51.62261004
132	51.48110697
133	51.43519891
134	51.2746077
135	51.05685942
136	51.02598914
137	50.94585662
138	50.8540866
139	50.80802107
140	50.77959932
141	50.65536452
142	50.60531118
143	50.43991766
144	50.39216866
145	50.27588535
146	50.09330459
147	49.89543473
148	49.82249683
149	49.73380729
150	49.64321103
151	49.59320312
152	49.55258771
153	49.46348379
154	49.36672892
155	49.27383423
156	49.19104772
157	49.10727442
158	49.03826052
159	48.97679
160	48.91262614
161	48.79525662
162	48.73193654
163	48.65888682
164	48.57682798
165	48.51574391
