iter	Passed	Remaining
427	1742	2328
428	1746	2324
429	1750	2319
430	1753	2315
431	1757	2310
432	1761	2306
433	1765	2301
434	1768	2297
435	1772	2293
436	1776	2288
437	1780	2284
438	1784	2280
439	1788	2275
440	1791	2271
441	1795	2266
442	1799	2262
443	1803	2257
444	1806	2253
445	1810	2248
446	1814	2244
447	1818	2240
448	1821	2235
449	1825	2231
450	1829	2227
451	1833	2223
452	1837	2218
453	1841	2214
454	1845	2209
455	1848	2205
456	1852	2201
457	1856	2196
458	1859	2192
459	1863	2187
460	1867	2183
461	1870	2178
462	1874	2174
463	1878	2169
464	1881	2165
465	1885	2160
466	1889	2156
467	1892	2151
468	1896	2147
469	1900	2142
470	1903	2138
471	1907	2134
472	1911	2130
473	1915	2126
474	1919	2121
475	1923	2117
476	1927	2113
477	1931	2108
478	1934	2104
479	1938	2100
480	1942	2096
481	1946	2091
482	1949	2087
483	1953	2083
484	1957	2078
485	1961	2074
486	1965	2070
487	1969	2066
488	1972	2061
489	1976	2057
490	1980	2053
491	1984	2048
492	1988	2044
493	1991	2040
494	1995	2035
495	1999	2031
496	2002	2027
497	2006	2022
498	2010	2018
499	2013	2013
500	2017	2009
501	2021	2005
502	2025	2000
503	2029	1996
504	2033	1992
505	2036	1988
506	2040	1983
507	2044	1980
508	2048	1976
509	2052	1971
510	2056	1967
511	2060	1963
512	2064	1959
513	2067	1955
514	2071	1950
515	2075	1946
516	2078	1941
517	2082	1937
518	2086	1933
519	2089	1929
520	2093	1924
521	2097	1920
522	2100	1916
523	2104	1911
524	2108	1907
525	2112	1903
526	2115	1899
527	2119	1895
528	2123	1891
529	2128	1887
530	2132	1883
531	2136	1879
532	2140	1875
533	2143	1870
534	2147	1866
535	2151	1862
536	2155	1858
537	2158	1853
538	2162	1849
539	2166	1845
540	2169	1841
541	2173	1836
542	2177	1832
543	2181	1828
544	2184	1823
545	2188	1819
546	2192	1815
547	2196	1811
548	2199	1807
549	2203	1802
550	2207	1798
551	2211	1794
552	2215	1790
553	2218	1786
554	2222	1781
555	2226	1777
556	2229	1773
557	2233	1768
558	2236	1764
559	2240	1760
560	2244	1756
561	2247	1751
562	2251	1747
563	2255	1743
564	2258	1739
565	2262	1734
566	2265	1730
567	2269	1726
568	2273	1722
569	2277	1718
570	2282	1714
571	2286	1711
572	2291	1707
573	2295	1703
574	2299	1699
575	2303	1695
576	2306	1691
577	2310	1687
578	2314	1683
579	2318	1679
580	2322	1674
581	2326	1670
582	2330	1666
583	2333	1662
584	2337	1658
585	2341	1654
586	2345	1650
587	2349	1645
588	2352	1641
589	2356	1637
590	2360	1633
591	2364	1629
592	2367	1625
593	2371	1621
594	2375	1616
595	2379	1612
596	2382	1608
597	2386	1604
598	2390	1600
599	2394	1596
600	2398	1592
601	2401	1587
602	2405	1583
603	2409	1579
604	2412	1575
605	2416	1571
